comment,likes_count,label
embarrassing,1,0
war monger,1,0
i want to understand how representative gaetz isnt in jail for paying an underaged minor child to travel across state lines was paid by gaetz to have sex like why wasnt he charged as if any normal person did that theyd be in jail,208,0
lol pew pews aint going now where,1,0
you dont give two squats about that girl or any of us,1,0
my grandsons epi pen is 300,1,0
m green look like she delivering pizza,196,0
300 for insulin,1,0
giving ppl seizures and enlarged hearts,1,0
my votesealed,1,0
not coming back with you,1,0
have they fixed flint michigan,1,0
you are problem,1,0
finley on right track,1,0
lies all lies,1,0
lgbfjb,1,0
this dude,1,0
what does that mean,1,0
my grand father was union member,1,0
no teleprompter needed,16,0
we will make it better,1,0
cocaine,1,0
i appreciate all of you,1,0
we are coming back,1,0
mtg looks like a foreign tourist on her first day in america,444,0
so happy with with jill,1,0
what a joke,1,0
these are not patriots,1,0
that was awesome usa,16,0
an innocent young girl killed by an illegal just about the only thing truthfull he said all night,1,0
all praise glory to our lord savior jesus christ,1,0
what a joke hahahah omg,1,0
damn,1,0
supreme court justices,16,0
all lies,1,0
bull crap,1,0
angry old timer,1,0
i knew marjorie taylor would make a clown of herself with the makeup and bozos red hat,1,0
words mean nothing,1,0
not impressive,1,0
no more years,1,0
i have three kids live in northeast best schools in the country and they did not read comprehensive until third grade they were reading site words in kindergarten,1,0
jill is playing the game,1,0
reading from a teleprompter lol,1,0
awesome phenomenally awesome,1,0
i loved this sotu,1,0
what union,1,0
what a farce,1,0
hey mikey if im not pregnant and my egg dies am i a murderer extremist bullshit,1,0
what a historic embarrassment,1,0
i challenge anybody over 40 to stand in one spot for 1 12 hoursfr,144,0
this does not feel right its like some kind of strange advertisement,20,0
four more years,1,0
its nice to look through these comments before all the bots come in,1,0
theres more hate for you than love for your lies,1,0
look into rfk as an independent candidate before you decide,1,0
4043 tell that to frontier airlines lol all costs up front no hidden fees or late fees,1,0
bobblehead buttege,1,0
4 more years,1,0
mtg lookin like a walmart greeter,170,0
this address was absolute hot garbage those are the fakest smiles and laughs ive ever seen,1,0
i thought it went pretty well,19,0
go home now,1,0
4 more years,1,0
this country cant take 4 more years of this man weve became a joke to every other nation we need a strong fearless leader not someone that deserves to be in a nursing home poor guy,1,1
bravo mister president brought tears toy eyes,1,1
i am very jealous of your president american people and that is coming from czech person we have excelent president as well pet pavel but your president truly wants to unite americas again,2,1
god bless my president,2,1
a great president,1,1
ohhh he stuck obama in there shades of excitement,1,1
liar liar we all seen you now down during the riots weak president,1,1
this was painful to watch trump 2024,3,1
amazing how many people think this guy is a good president boggles the mind hes a fucking train wreck,2,1
what a disgrace speech joe didnt lay his vision for america it was a political and election speech all he did was blaming others for his failures for example where was he and the vp when illegal immigrants crossed our border in the millions he never visited once until just recently he doesnt care about our country and the security of our people i am an immigrant my family came from a refugee camp we waited over 4 12 years before coming to america i dont hate immigrants because i am one of them but i want legal immigration personally i care about the prosperity and security of our american people at the end of the day its all about families and our future generations i may not like the way trump speaks and portrays himself sometimes but at least he shows that he cares about the future of americans also at the end of the day no ones going to feed my family or pay my bills i know were not better off than 3 years ago i am a small business owner and under joes current plan my business suffers much lets get back to the basic fundamental values of our country we cant afford another 4 years of joe biden and his incompetent vp the world is laughing at us because of joes policies,2,1
man this guy is aweful hates babies being developed lies about tax breaks believes economy is great lies about medical expenses like trumps lower insulin and all of a sudden sees border is broken,1,1
worse president in history if you cant see it you are foolish,2,1
the most evil rogue and vile president america has ever known,1,1
to my american friends let me just say that you have president who has razor sharp mind ask putin,2,1
lets go brandon trump 2024,1,1
a sotu president worthy and perhaps more than that imagine when its predecessor gets space,3,1
hes not speaking to us the tax paying middle class people hes speaking to swamp trying to get approval sorry the american people eyes are wideopen nothing you said was for us the people it was all about you and your devilcrats swamp,2,1
hes being applauded for achievements that had to be done regardless basic human rights jobs medicine housing fixing roads,2,1
so happy that the president is so sane and so astute and sharp this speech proved his detractors wrong now its time to charge him with the classified documents he took while he was a senator the same thing that his doj is charging trump of,2,1
we deserve who we vote for and this man is the right man to lead the america for 4 more years,3,1
trump 2024 take america back,3,1
the poorest president,2,1
lets see this lying fool debate trump,2,1
mr trump are you watching this is what a real president looks like,2,1
america 2024 those who wish to be president must practice what they teach as gods people need inspiring to believe what they preach take heed therefore unto yourselves you overseers of the flock or the voters shall cast you out for your futures are not of rock life may place you in deep waters though it doesnt wish you to drown its your past record that lets us know who you are as you smile or frown if you wish to be remembered from the truth you must never part power corrupts the best of us when we stop listening to our heart politicians who wish to be praised by history must earn their fame by living the truth any who continue to mislead and deceive must be shunned by the voter at the booth wisdom is gods vision of soul in everything we consume fear and employ knowledge is mankinds only hope of fulfillment purpose truth and joy by tom zart,3,1
the more i listened the more i am thinking we need anew president some one that stops lying to us and tell us the truth stop lying to the people that hired you,1,1
so great to see a normal president,2,1
at least here is a man who can string together several words leading to a sentence and from there several sentences leading to a meaningful comprehensible whole of forwardlooking political ideas and visions a total contrast to trumps incoherent nonsense which the few times when something of it becomes a little understandable is only about himself and the injustices he belives little innocent donald is being exposed to or a large amount of folkseducing lies and simplistic phrases filled with megalomaniac delusions,2,1
a trump speech jabber jabber jabber blah me blah hate sneer yawn me me hate fumble blah blah me victim me victim blah sneer silly names hate blah me me me,4,1
the president was on fire tonight 4 more years,3,1
he did a very good job things are getting worse than getting better in some city townand state especially florida poor people will have to move out of florida because some cannot afford a one bedroom to rent in florida much more to buy a home,2,1
god bless great and gorgeous united state of the america forever,2,1
unfortunately for you and i donald trump is just the opposite he is a user of people and only cares for himself i am sorry to have to say this but his proven actions and words speak for themselves,1,1
trump never bowed down to putin,3,1
make sure you have the backing of obama,1,1
trump 2024,3,1
trump 2024 this idiot has got to go,1,1
very well said mr president god bless american people god bless america,4,1
he has executive order authority to close the border immediately but he wonthe doesnt need congress everyone knows this,1,1
trump 2024,2,1
worst president in the history of the world pathetic,2,1
he is such a liar there are families having to move in with other families because the economy is so terrible,2,1
brilliant but i just cant stand trumps sub in the picture all the time,1,1
he is out of touch with americans,2,1
best president ever,3,1
