comment,likes_count
the former republican president of the united states has been found guilty of 34 felonies and fox only post a 2 min 36 sec clip of it if this was biden it would be hours and hours long,1
don the coneligible for prison now please make this happen,1
im honestly not surprised they jury knew how this would end before openings,1
republicans dont want felons voting for president just running for president,1
do not expect the courts especially the supreme court to provide justice we must vote blue and remove the corrupt ԙpubliʞaи party from all offices vote blue,1
trump you lost the popular vote by 22 in 2016 and by 48 in 2024 you will lose by double digits in 2024 your bots show you ahead in the polls but bots dont vote,1
trump is a convicted criminal found guilty on all 34 counts all unanimous that says a lot,1
you can have the rule of law or you can have trump the dictator but you cannot have both vote blue,1
777skeptic obama is not a criminal which would you prefer blue suit prison cell or tan suit clean record and right to vote,1
once again all jury deliberation involving trump are always unanamous verdicts or indictments by ordinary people,1
nikki haley,1
justice,1
justice wins i hope the americans can draw the right conclusions from this conviction i come from germany and without the war of the allies we would have received a military dictatorship like in north korea i am grateful for that please dont break your great country,1
hes innocent trump 2024 appeal,1
im surprised it took this long,1
biden still wont get reelected trump 2024 this will all be overturned by appeal because this was rigged from the judge to the jury,1
fasten your seatbelts trumplican traitors it is going to be a bumpy night and there are three more trials to go,1
