comment,label
he is a career criminal and a traitor to the united states he is also an individual with absolutely zero redeeming human qualities clearly he is a threat to society and to everything this country stands for this monster must be locked up,0
hilarious to think this all snowballed because michael cohen ratted him out over questioning about his assets by aoc stormy daniels must be laughing her ass off,0
they are trying to bleed him of cash and when that doesnt work they will try to bleed him yes the democrats will do the unthinkable,0
thats why hes called crooked con trumpf,0
trump could have avoid all of this by just being a decent human being this is a man who just can help himself he is a victim of his own personality sad,0
end of democracy erra in united states of america,0
cnn communist news network,0
cnn what a joke they have become there was a time when they were a respected news channel,0
thats all trump got off easy,0
what do maga cultist and russian trolls have in common they both dont understand law suits it seems cause it isnt about lying or distracting it is all about facts,0
you leave the comments that say nasty things about trump and you deleting the ones that is for trumpwhy cnn two face crooked animals,0
i dont care whos side politically your on if they do this to people like trump then we are screwed,0
disgusting the radical left democrats globalists are trying to bankrupt him totally despicable i never listen to or watch cnn dont know why this is in my feed,0
american democracy is in mortuary since uncle b took office then they want to teach the world democracy hypocrites,0
if god himself came down to earth and convicted trump his cult followers would try to burn down heaven,0
america has officially become a banana republic there is no turning back when you weaponize the legal system to go against political opponents the tables will turn and the shoe will be on the other foot this is now acceptable and celebrated good luck coming back from this america,0
the dems are doing to trump the same thing that putin and other dictators do to their opposition,0
his memory isnt good enough to stand trial so he should be set free we know if he was a democrat he would have been authoritarian leftist at it again that graves gonna be huge,0
this was nothing more than a kangaroo trial with the sole intention of bleeding him dry so that he cant run again for the presidency the american people are wise to cnns lies,0
this is unfortunate and shameful for the country were now playing the politics of a third world and communist state at large the issue is to keep trump off the ballot come next elections,0
whos surprised the devil is busy all it does is make trump even stronger real americans see this demonic evil for what it truly is theyre not fooled at least the ones with a brain arent by these baseless corrupt witch hunts,0
cry maga traitors cry,0
they are draining the swamp,0
what a crock of shit witch hunt no better than communist russia,0
cnn fox news are keeping people busy with their bs,0
thats cool if your gonna do this to trump keep that same energy with nancy poloaki shes fucked the stock market outta millions and not a single thing has happened martha stewart went to prison for the same shit poloski is doing why the double standard yall are fuckin special and need helmets super glued to your heads all this corruption is ridiculous and ruining a once great country our kids are screwed,0
trump wont be an officer for the trump organization soon once he becomes the president for another 4 years this is a joke and everyone with half a brain knows it the america becomes a laughing stock for the world because of these lunatic judges and prosecutors,0
and trump still has a very good shot at being elected president later this year thats all you need to know about the state of american politics,0
boys and girls what lessons have you learn from donald trump perhaps stay out of politics if you have alot to hide hire good lawyers when you get caught pay your bills on time and promptly be taciturn can you give some lessons that i have not enumerated here,0
the fight between warmonger greedy liberals and trump is intensifying they are on him from all directions and they are winning but when he gets the white house back in 2025 o boy everyone is waiting to witness it,0
you trump the mafia boss are not dealing with people that will sale their soul to the devil they are people out there that will protect america from gullibles like you trump,0
the democrat communist party democrats are dangerous people,0
finally good news trump should have been arrested january 7th after insurrection,0
tired of winning trump,0
and cnn is about to let all there viewers down again fanni is done and now engoron and laticia are next scotus will 100 overturn this,0
these ding bats dont realise how corrupt their left liberal heros are they will pay and so will all america,0
not enuff trump is scum,0
this kind of crap is what convinced me to vote for trump now what a clown show he should easily appeal this one,0
i hope they get biden for his crimes too,0
this evil by the devils god is watching god bless trump,0
terrific news trump will be forced to stop scammingothers,0
civil war is what democrats want and it looks like its coming soon but dont forget lets send 113 billion to ukraine,0
i have no faith in the america anymore anyone happy over this gonna be crying when biden destroys this country more,0
the most foolish thing about this is melania does not appear to have learned how to support herself and will burn through her money and be on the street with her husband hope barron inherited a brain as mary did,0
all of trumps lies are catching up to him next up retribution for all the lies about the 2020 election,0
im so sorry for the best president in history,0
trump learn a valuable lesson take care of your people especial if they know where the bodies are buried,0
all smiles at cnn tonight,0
crap news network,0
so its true the president of russia is supporting these treasonous traitor benedict arnold joe biden president vladimir putin is the number one supporter of joe biden could you believe the ignorant people that voted for this treasonous trader joe biden theyre so ignorant they dont even understand whats going on,0
no white house for trump now its over,0
bobo de mundo novo otan nato 2 there you go trumppert give that to nato just 5 cents appeal mr p,0
hes not going to be able to serve as an officer of a corporation not going to be able to get loans not going to be able to vote but perfectly fine to be president of the united states go figure,0
thats like 1 to him oh well trump 2024,0
i think alina baba could fake this as a win for donald trump,0
i wonder if trump is tired of all of this winning yet,0
this is surely gonna give him the win for president,0
on trumps ass,0
alina habba i would not trust her defending a speeding fine she is costing the orange idiot a fortune you pay pennies or not in trumps case so you get what you deserve,0
should have banned them all for at least five years to ensure he doesnt con people in ny wimpunity if he wins in 2024,0
02 for don con and many more to come it is sad he cant run a business for 3 years and then after that he has to have a babysitter to watch over his business dealings and they want him to be president that is why i voted for nikki haley,0
its outrageous alot of corruption and liestrump 2024,0
cnt wait till trump is president again,0
gop is winning so much this year,0
ha ha pay up chump er trump nah chump as in harry potter justicehttpswwwyoutubecomwatchvyymxazx5xtk,0
president trump is god almightys trumpet to wake us up to what is happening to america,0
goodbye trump empire,0
america happend in eastern europe thouse judges killed milions persecuting opponents we come from there president yrump america is more valuable than zer will vote for you by millions 2024 election is yours investigate next year all that persecuted you and terrorizing our country z,0
trump will fleece the republican party for millions and the down ballot republican canadates wont have any to campaign with in 2024,0
hooray keep it going congratulations to michael cohen,0
