channel_name,video_title,published_at,video_id,view_count,like_count,comment_count
Al Jazeera English,Can Putin&#39;s diplomacy help him counter Western isolation? | Inside Story,2024-06-21T17:30:07Z,VZpB3L750n0,68088,827,394
Al Jazeera English,UN chief warns: Lebanon cannot become another Gaza,2024-06-21T17:25:07Z,a277RS7z3LE,116040,1826,866
Al Jazeera English,All eyes on Papua campaign: Indonesian environmentalists warn of threat to forest,2024-06-21T16:58:43Z,1nkQxHCNfxc,4035,88,12
Al Jazeera English,Crafting a lifeline: Handmade clay ovens used due to lack of electricity,2024-06-21T16:49:55Z,al1PcF_kZVk,8808,375,88
Al Jazeera English,"Andrew Miller, US Department expert on Israel-Palestine, resigns amid Gaza war",2024-06-21T16:30:11Z,LlpLdd9eRjE,176711,3289,438
Al Jazeera English,UN chief warns against escalation in Lebanon,2024-06-21T15:34:55Z,RB5DjtBGvO4,42435,1379,531
Al Jazeera English,The Night Won’t End: Biden’s War on Gaza | Fault Lines Documentary,2024-06-21T13:00:12Z,ECFpW5zoFXA,185865,13264,1750
Al Jazeera English,How has the medical gender gap been affecting women’s health? | The Stream,2024-06-21T13:01:05Z,xOFu6wtBjJI,3881,88,22
Al Jazeera English,Five killed in Israeli attack on municipal building in Gaza City,2024-06-21T12:12:41Z,huJohkP1Z8A,16242,926,230
Al Jazeera English,Video shows Israeli destruction of Gaza’s Rafah crossing | Al Jazeera Newsfeed,2024-06-21T11:41:27Z,aEi85USV8NY,24961,663,437
Al Jazeera English,‘There is a war within each individual’,2024-06-21T09:31:23Z,sFxoixmHxJk,24486,1074,307
Al Jazeera English,Concerns rise of further escalation between Israel and Hezbollah,2024-06-21T09:20:00Z,Mnz6biLPVqM,93307,1803,294
Al Jazeera English,An inside look at how Israeli settlers are blocking aid to Gaza | The Take,2024-06-21T04:00:41Z,y3rRjzZa5fQ,46775,1974,651
Al Jazeera English,"Landslides kill at least 15, displace millions, in Bangladesh and India",2024-06-21T03:14:33Z,QL3XkBIGKBk,7704,248,39
Al Jazeera English,"Four in five people want more climate action, UN poll finds",2024-06-21T03:14:33Z,1H4dQKKn8hs,2523,73,27
Al Jazeera English,"Donald Sutherland, star of &#39;MASH&#39; and &#39;The Hunger Games&#39;, dies at 88",2024-06-21T02:47:34Z,j2ihnhTIYU0,5927,101,14
Al Jazeera English,"Kenya police use tear gas, water cannon as hundreds protest over tax hikes",2024-06-21T02:32:10Z,7twH0oEaXyA,34283,531,123
Al Jazeera English,Saudi Arabia&#39;s Donia Abu Taleb set to make history at Summer Olympic Games in Paris,2024-06-21T00:25:00Z,UrQN-I5uQPA,6759,91,62
